Authors,Author(s) ID,Year,Source title,Link,EID
"Peeters M.H., Antoine J., Lamothe V., Viala A.","7203079611;7201606377;6506504555;57207543413;",1990,"Proceedings, Annual Conference - Microbeam Analysis Society","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025568804&partnerID=40&md5=5be88b1d8f65468795d6f792569474b8",2-s2.0-0025568804
"Matricardi V.R.","6603475876;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018615451&partnerID=40&md5=c73d7a62eaab7a3a5c4ceabf24f94496",2-s2.0-0018615451
"Tassa M., Zeldes N.","6507905878;6602692002;",1979,"Scanning Electron Microscopy","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018582840&partnerID=40&md5=0a4807e43379ba1f754aae6e69365813",2-s2.0-0018582840
"Albino de Carvalho M., Talhavini M., Pimentel M.F., Amigo J.M., Pasquini C., Junior S.A., Weber I.T.","57204157323;6602405849;7006799228;13408911100;35507950000;55153735000;7102280478;",2018,"Analytical Methods","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054748435&doi=10.1039%2fc8ay01341a&partnerID=40&md5=3b479b2931da1c01263cb9718a84e71e",2-s2.0-85054748435
"Haag L.C.","16202326200;",2018,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068015545&partnerID=40&md5=61413f21abb4c0c20ff7a1cd3e94bb04",2-s2.0-85068015545
"Von Rentzell N.J.","57209506598;",2018,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067985976&partnerID=40&md5=36f6dbfc548d72e1d37c08761d0c36db",2-s2.0-85067985976
"Geil K.M.","57196467412;",2017,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033490969&partnerID=40&md5=facaac15921a5d12111b31742a417a5f",2-s2.0-85033490969
"Spathis V.","57194945450;",2017,"Proceedings - 30th International Symposium on Ballistics, BALLISTICS 2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035752017&partnerID=40&md5=0c8e57e54b16d75afdea55a9c512f699",2-s2.0-85035752017
"Lancon L.C.","57195391089;",2017,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027679209&partnerID=40&md5=7a226a3b3b3707eea2810743247abd6e",2-s2.0-85027679209
"Cox B., McGrath S.A., Gardner E.A.","57194603931;57194589259;55567105500;",2016,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021085147&partnerID=40&md5=9bdd5c144ccb02b1eaa56f7433df7e33",2-s2.0-85021085147
"Ramirez W., Torres S., Sanhueza I., Yañez J.","57183887100;7101834722;57184155400;10144457000;",2015,"WMSCI 2015 - 19th World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961183598&partnerID=40&md5=5d2d9e6d9b4bc448f901c92663cc6861",2-s2.0-84961183598
"Martini L.","57085992600;",2014,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956493454&partnerID=40&md5=29083f22a3aec582d0e57db13afbf03a",2-s2.0-84956493454
"Haag L.C., Haag M.G., Brudenell A.","16202326200;55917129000;57103601600;",2014,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957541777&partnerID=40&md5=739aea8683fc188396cb96eb32cb8ea5",2-s2.0-84957541777
[No author name available],[No author id available],2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923101345&partnerID=40&md5=c7809061b880d4625aad584090ad34c1",2-s2.0-84923101345
"Burnett B.R.","35564659500;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923036080&doi=10.1117%2f12.2065556&partnerID=40&md5=d1eba3c1e534b25178170b4d6de2863e",2-s2.0-84923036080
"White T.R.","56519013900;",2014,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923005418&doi=10.1117%2f12.2073770&partnerID=40&md5=4fae77be1bc88f425f172b732385a9cc",2-s2.0-84923005418
"Hess P.A.","55915914500;",2013,"AFTE Journal","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887051932&partnerID=40&md5=80ccbe56e1ddfd68da16dee04683c5dc",2-s2.0-84887051932
"Rashid R.A., Arifuddin N., Ahmad N.W.","35230721000;55607508500;7202344012;",2012,"ISBEIA 2012 - IEEE Symposium on Business, Engineering and Industrial Applications","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874388451&doi=10.1109%2fISBEIA.2012.6422946&partnerID=40&md5=ae4790174f619da15f1cf83c09db5e37",2-s2.0-84874388451
[No author name available],[No author id available],2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960406197&partnerID=40&md5=61325d6f42c7596f66b9f57217a70dc6",2-s2.0-79960406197
"Trimpe M.A.","8273298800;",2011,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960395558&doi=10.1117%2f12.887503&partnerID=40&md5=e1475a6c0f49694cb520df7376526c88",2-s2.0-79960395558
"Kotrlý M., Turková I.","56319424700;35086846200;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954509570&doi=10.1117%2f12.853938&partnerID=40&md5=1e8d6c0467f91fc38332804e162e489f",2-s2.0-77954509570
"Schwoeble A.J., Strohmeier B.R., Piasecki J.D.","6507999564;6603730593;35086690100;",2010,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954507849&doi=10.1117%2f12.863906&partnerID=40&md5=4fef78dae5ca24a14946dbde22bb788c",2-s2.0-77954507849
"Burnett B.R.","35564659500;",2009,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949151311&doi=10.1117%2f12.827362&partnerID=40&md5=9cf8b0af23d20ac687ce9bb97a0edc62",2-s2.0-69949151311
"Charles S., Dehan D., Geusens N., Nys B.","57197281468;34869402300;34978537600;35080922200;",2009,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949150909&doi=10.1117%2f12.827583&partnerID=40&md5=56892c608c03418bf58d587f79f73e92",2-s2.0-69949150909
"Meng H.-H., Lee H.-C., Chen Y.-L.","7202278946;7501482589;54683646700;",2003,"IEEE Annual International Carnahan Conference on Security Technology, Proceedings","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342496277&partnerID=40&md5=d36fa9dd3966c3e63c692418ac1baa2d",2-s2.0-2342496277
"McKinney R.E.","7102726510;",1986,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022897555&doi=10.1117%2f12.964439&partnerID=40&md5=6509173ee02c26bfaee87f1f4b5b23ea",2-s2.0-0022897555
"Rains T.C., Barnes I.L.","6603756791;57205917321;",1977,"Proceedings of SPIE - The International Society for Optical Engineering","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957476480&doi=10.1117%2f12.955477&partnerID=40&md5=a67d3b90dc1403565239ff0507811b87",2-s2.0-84957476480
